nr,id,name,year,type,series_1,series_2,series_3,image
184,HTC21,2020 Koenigsegg Jesko,2024,Mainline,HW Exotics,null,null,https://static.wikia.nocookie.net/hotwheels/images/2/26/2020KoenigseggJesko.jpg
184,HTF07,2020 Koenigsegg Jesko (2nd Color),2024,Mainline,HW Exotics,null,null,https://static.wikia.nocookie.net/hotwheels/images/9/99/2024KoenigseggJesko.jpg
185,HTC22,Bugatti Bolide,2024,Mainline,HW Exotics,null,null,https://static.wikia.nocookie.net/hotwheels/images/9/97/2024BugattiBolide.jpg
185,HTF08,Bugatti Bolide (2nd Color),2024,Mainline,HW Exotics,null,null,https://static.wikia.nocookie.net/hotwheels/images/0/0f/BugattiBolideConcept.jpg
186,HTB35,VW Bug,2024,Mainline,HW Screen Time,null,null,https://static.wikia.nocookie.net/hotwheels/images/a/ab/Bumblebee.jpg
186,HTF09,VW Bug (2nd Color),2024,Mainline,HW Screen Time,null,null,https://static.wikia.nocookie.net/hotwheels/images/2/2f/GoldenBee.jpg
187,HRY84,Kowloon'd Hypervan,2024,Mainline,HW Metro,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/a/a0/Kowloon%27dHypervan.jpg
188,HRY76,'67 Lotus Type 49,2024,Mainline,HW Race Day,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/f/f8/Lotus49.jpg
188,HTD99,'67 Lotus Type 49 (2nd Color),2024,Mainline,HW Race Day,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/6/6a/Lotus49A.jpg
189,HRY74,Track Dwagon,2024,Mainline,HW Track Champs,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/a/a0/TrackDwagon.jpg
189,HTF12,Track Dwagon (2nd Color),2024,Mainline,HW Track Champs,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/6/64/TrackDwagonBlack2024.jpg
190,HRY62,1966 Triumph Tiger 100,2024,Mainline,Factory Fresh,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/b/b8/TriumphT100.jpg
190,HTD43,1966 Triumph Tiger 100 (2nd Color),2024,Mainline,Factory Fresh,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/e/e4/TriumphTiger2024Blue.jpg
191,HTC65,Nissan Skyline 2000GT-R LBWK,2024,Mainline,Then and Now,null,null,https://static.wikia.nocookie.net/hotwheels/images/0/00/Mainline_2024_Nissan_Skyline_2000GT-R_LBWK_Light_Gray_Malaysia_HTC65.jpg
192,HTC66,'84 Mustang SVO,2024,Mainline,Then and Now,null,null,https://static.wikia.nocookie.net/hotwheels/images/c/ce/Mainline_2024_%2784_Mustang_SVO_Red_Malaysia_HTC66.jpg
193,HRY66,Formula E Gen3,2024,Mainline,HW Race Day,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/0/09/FormulaEGen3.jpg
194,HTB05,'92 Ford Mustang,2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/2/2b/HTB05loose.jpg
195,HTB06,'92 BMW M3,2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/2/26/1992BMWM3.jpg
195,HTF82,'92 BMW M3 (2nd Color),2024,Mainline,Red Edition,Target Exclusive,null,https://static.wikia.nocookie.net/hotwheels/images/f/ff/2024_%2810-12%29_%28-195%29_%2792_BMW_M3_%28Red%29_%281%29.jpg
196,HRY78,'22 Ford Maverick Custom,2024,Mainline,HW Hot Trucks,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/d/d7/FordMaverickPickup.jpg
